"Company";"TypeName";"Touchscreen";"IPS";"CPU";"Ram";"Gpu";"OpySys";"Weight";"Price";"PPI";"HDDStorage";"SSDStorage";"FlashMemory";"HybridStorage"
"Acer";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"2.4";20459.52;100.4547;1000;0;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"8";"AMD";"Windows";"2.13";40908.384;141.212;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"1.91";23389.92;141.212;0;128;0;0
"Asus";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Windows";"2";31232.2032;100.4547;0;256;0;0
"MSI";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.43";130482.72;127.3357;2000;2000;0;0
"Asus";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Others/No OS/Linux";"2";22111.2;141.212;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"16";"AMD";"Windows";"2.8";69210.72;127.3357;2000;2000;0;0
"Dell";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.7";46833.12;157.3505;0;256;0;0
"Lenovo";"Notebook";0;1;"Intel Core i3";"8";"Intel";"Others/No OS/Linux";"1.7";31914.72;157.3505;0;256;0;0
"Asus";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.4";50136.48;157.3505;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.86";36763.2;141.212;0;256;0;0
"Asus";"Ultrabook";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"1.8";105654.24;141.212;0;512;0;0
"HP";"Notebook";0;0;"Intel Core i3";"4";"AMD";"Windows";"1.86";23373.4032;100.4547;500;0;0;0
"HP";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Windows";"1.44";12201.12;111.9352;0;32;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Windows";"1.9";29250.72;141.212;1000;0;0;0
"Asus";"Gaming";0;0;"Intel Core i7";"12";"Nvidia";"Others/No OS/Linux";"3";50562.72;127.3357;1000;0;0;0
"Microsoft";"Ultrabook";1;0;"Intel Core i5";"4";"Intel";"Windows";"1.252";58021.92;200.8426;0;128;0;0
"Dell";"Ultrabook";0;1;"Intel Core i7";"8";"AMD";"Windows";"1.4";50882.4;165.6321;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"8";"AMD";"Windows";"2.2";46353.6;141.212;0;256;0;0
"MSI";"Gaming";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"2.7";58341.6;127.3357;1000;1000;0;0
"Acer";"Notebook";0;0;"Intel Core i3";"8";"Intel";"Windows";"2.1";20725.92;111.9352;1000;0;0;0
"Asus";"Gaming";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"2.2";50562.72;141.212;1000;0;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Others/No OS/Linux";"2.2";27652.32;141.212;2000;0;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"8";"Intel";"Windows";"2.02";45554.4;141.212;1000;1000;0;0
"Acer";"Notebook";0;0;"Intel Core i3";"4";"Nvidia";"Windows";"2.2";28238.4;141.212;1000;0;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"2.5";52054.56;127.3357;1000;1000;0;0
"Dell";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Windows";"1.88";58403.4048;141.212;0;256;0;0
"Apple";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Mac";"0.92";80452.8;226.4155;0;512;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.63";45820.8;157.3505;0;256;0;0
"Lenovo";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.2";21258.72;141.212;0;128;0;0
"Acer";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.1";21045.6;100.4547;1000;0;0;0
"Dell";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"2.65";71874.72;141.212;1000;1000;0;0
"HP";"Ultrabook";0;1;"Intel Core i7";"8";"Nvidia";"Windows";"1.83";37242.72;141.212;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.96";31914.1872;141.212;0;256;0;0
"Asus";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"2.2";77202.72;141.212;1000;1000;0;0
"Dell";"Ultrabook";0;1;"Intel Core i7";"8";"Intel";"Windows";"1.21";87858.72;165.6321;0;256;0;0
"Asus";"Gaming";0;0;"AMD Processor";"8";"AMD";"Windows";"2.45";37242.72;141.212;1000;0;0;0
"Acer";"Notebook";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"2.2";36709.92;141.212;1000;0;0;0
"HP";"Notebook";0;0;"Intel Core i7";"16";"Intel";"Windows";"1.49";63776.16;165.6321;0;512;0;0
"Dell";"Gaming";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"2.65";63669.6;141.212;0;256;0;0
"Asus";"Ultrabook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.25";55890.72;157.3505;0;256;0;0
"Acer";"2 in 1 Convertible";1;1;"Intel Core i5";"8";"Intel";"Windows";"1.5";45128.16;165.6321;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"8";"AMD";"Others/No OS/Linux";"2.2";31962.672;141.212;1000;0;0;0
"Dell";"Notebook";0;0;"Intel Core i3";"4";"AMD";"Others/No OS/Linux";"2.2";25840.8;141.212;0;256;0;0
"Asus";"Notebook";0;0;"Intel Core i3";"6";"Nvidia";"Windows";"2";30742.56;141.212;0;256;0;0
"HP";"Gaming";0;1;"Intel Core i7";"12";"Nvidia";"Windows";"2.62";66546.72;141.212;1000;1000;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"AMD";"Windows";"1.91";38308.32;141.212;0;256;0;0
"HP";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.1";18594.72;141.212;500;0;0;0
"Dell";"Notebook";0;0;"Intel Core i5";"8";"AMD";"Others/No OS/Linux";"2.2";34472.16;141.212;1000;0;0;0
"HP";"Ultrabook";0;1;"Intel Core i7";"8";"Nvidia";"Windows";"1.38";59620.32;165.6321;0;256;0;0
"Microsoft";"Ultrabook";1;0;"Intel Core i5";"8";"Intel";"Windows";"1.252";71395.2;200.8426;0;256;0;0
"HP";"Notebook";0;1;"Intel Core i5";"6";"Nvidia";"Windows";"1.58";35111.52;157.3505;0;256;0;0
"Lenovo";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"1.85";22105.872;141.212;1000;0;0;0
"Asus";"Ultrabook";0;1;"Intel Core i7";"8";"Nvidia";"Windows";"1.3";63563.04;157.3505;0;256;0;0
"MSI";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.2";69210.72;141.212;1000;1000;0;0
"Lenovo";"Notebook";0;1;"Intel Core i7";"8";"Intel";"Windows";"1.58";78854.4;157.3505;0;256;0;0
"Asus";"Ultrabook";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"1.5";67239.36;141.212;1000;1000;0;0
"Dell";"Ultrabook";1;0;"Intel Core i7";"8";"Intel";"Windows";"1.23";73473.12;276.0535;0;256;0;0
"Lenovo";"2 in 1 Convertible";1;1;"Intel Core i5";"8";"Intel";"Windows";"1.37";74538.72;165.6321;0;256;0;0
"HP";"Notebook";0;1;"Intel Core i5";"4";"Intel";"Windows";"1.63";38468.16;111.9352;500;0;0;0
"Dell";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Windows";"1.21";86793.12;165.6321;0;256;0;0
"HP";"2 in 1 Convertible";1;1;"Intel Core i5";"8";"Intel";"Windows";"1.26";74538.1872;165.6321;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.63";57755.52;157.3505;0;512;0;0
"Dell";"Notebook";0;1;"Intel Core i7";"8";"Nvidia";"Windows";"2.16";60223.9824;141.212;1000;1000;0;0
"Asus";"Notebook";0;0;"Intel Core i3";"4";"Nvidia";"Windows";"2";30049.92;127.3357;1000;0;0;0
"Asus";"Notebook";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"1.7";59567.04;141.212;0;256;0;0
"Acer";"Notebook";1;1;"Intel Core i3";"6";"Intel";"Windows";"2.1";25521.12;141.212;1000;0;0;0
"MSI";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"1.8";119427.12;141.212;2000;2000;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"2.2";33513.12;141.212;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.5";67718.88;127.3357;0;512;0;0
"Acer";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.1";24029.28;100.4547;0;256;0;0
"HP";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Others/No OS/Linux";"1.86";13799.52;100.4547;500;0;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.63";43263.36;157.3505;1000;0;0;0
"Asus";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"1.65";14811.3072;111.9352;0;64;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"16";"AMD";"Windows";"2.8";74378.88;127.3357;2000;2000;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"2.5";49443.84;127.3357;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i5";"8";"AMD";"Windows";"2.36";34045.3872;100.4547;1000;0;0;0
"Dell";"Notebook";0;0;"Intel Core i3";"4";"AMD";"Windows";"2.2";23922.72;141.212;1000;0;0;0
"Acer";"Ultrabook";0;1;"Intel Core i7";"8";"Intel";"Windows";"1.6";47099.52;157.3505;0;256;0;0
"Acer";"Notebook";0;0;"Intel Core i3";"4";"Nvidia";"Windows";"2.2";30476.16;141.212;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"Intel";"Windows";"2.05";31861.44;100.4547;1000;0;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.63";52640.64;157.3505;0;256;0;0
"Lenovo";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Others/No OS/Linux";"1.9";13445.7408;100.4547;1000;0;0;0
"Asus";"Gaming";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"3";49976.64;127.3357;1000;1000;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"4";"Nvidia";"Others/No OS/Linux";"2.2";26586.72;141.212;1000;0;0;0
"HP";"Notebook";0;1;"Intel Core i5";"4";"Intel";"Windows";"1.32";37242.72;165.6321;0;256;0;0
"Acer";"Notebook";0;1;"Intel Core i3";"4";"Nvidia";"Windows";"3";34898.4;127.3357;1000;0;0;0
"Lenovo";"Notebook";0;1;"Intel Core i5";"8";"AMD";"Windows";"1.75";59461.5456;157.3505;0;256;0;0
"Lenovo";"Gaming";0;1;"Intel Core i7";"8";"Nvidia";"Others/No OS/Linux";"2.4";46300.32;141.212;0;256;0;0
"Toshiba";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Windows";"2.1";32074.56;100.4547;500;0;0;0
"HP";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"1.86";19660.32;100.4547;0;256;0;0
"Asus";"Ultrabook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.25";58554.72;157.3505;0;256;0;0
"HP";"Ultrabook";1;1;"Other Intel Processor";"8";"Intel";"Windows";"0.97";107305.92;172.8003;0;512;0;0
"Asus";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Windows";"2";18328.32;141.212;1000;0;0;0
"MSI";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.9";108105.12;127.3357;1000;1000;0;0
"Acer";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"2.1";23816.16;100.4547;1000;0;0;0
"Dell";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.56";66560.5728;141.212;0;512;0;0
"Dell";"Gaming";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"2.62";47898.72;141.212;0;0;0;1000
"Lenovo";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Windows";"1.9";26533.44;100.4547;0;128;0;0
"MSI";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.8";100699.2;127.3357;1000;1000;0;0
"HP";"Ultrabook";0;0;"Intel Core i5";"4";"Intel";"Windows";"1.48";57648.96;157.3505;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i5";"6";"AMD";"Windows";"1.91";32980.32;141.212;0;256;0;0
"Lenovo";"2 in 1 Convertible";1;1;"Intel Core i3";"4";"Intel";"Windows";"1.74";33513.12;157.3505;0;256;0;0
"Asus";"2 in 1 Convertible";1;0;"Intel Core i5";"8";"Intel";"Windows";"1.1";70063.2;165.6321;0;256;0;0
"Dell";"2 in 1 Convertible";1;0;"Intel Core i7";"8";"Intel";"Windows";"1.56";55890.72;141.212;0;256;0;0
"Toshiba";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"2.1";23816.16;100.4547;500;0;0;0
"Asus";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.03";21471.84;100.4547;1000;0;0;0
"Acer";"Notebook";0;1;"Intel Core i5";"4";"Nvidia";"Windows";"3";42890.4;127.3357;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i5";"8";"AMD";"Windows";"2.13";38787.84;141.212;0;256;0;0
"Lenovo";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"2.5";57489.12;141.212;0;256;0;0
"Acer";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Windows";"2.1";18541.44;100.4547;1000;0;0;0
"MSI";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"2.4";95850.72;141.212;1000;1000;0;0
"Acer";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Windows";"2.1";19367.8128;100.4547;1000;0;0;0
"Dell";"Gaming";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"2.56";56502.9072;141.212;1000;1000;0;0
"Acer";"Notebook";0;1;"Intel Core i5";"8";"Nvidia";"Windows";"3";45501.12;127.3357;0;256;0;0
"HP";"Notebook";0;1;"Intel Core i5";"4";"Intel";"Windows";"1.49";40173.12;165.6321;500;0;0;0
"Huawei";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Windows";"1.05";71874.72;199.6921;0;256;0;0
"HP";"Notebook";0;1;"Intel Core i5";"6";"AMD";"Windows";"2.71";37242.72;127.3357;2000;0;0;0
"Lenovo";"Notebook";0;0;"AMD Processor";"4";"AMD";"Others/No OS/Linux";"2.2";16463.52;100.4547;500;0;0;0
"Toshiba";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"2";26053.92;100.4547;500;0;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"2.5";49177.44;127.3357;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i3";"8";"Intel";"Windows";"2.3";24455.52;100.4547;1000;0;0;0
"Acer";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"2.1";23922.72;100.4547;0;128;0;0
"MSI";"Gaming";0;0;"Intel Core i7";"32";"Nvidia";"Windows";"4.4";149130.72;119.7232;1000;1000;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"AMD";"Windows";"1.90";43316.64;141.212;1000;1000;0;0
"HP";"2 in 1 Convertible";1;1;"Intel Core i5";"8";"Intel";"Windows";"1.29";79866.72;162.4063;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"16";"AMD";"Others/No OS/Linux";"2.02";55890.72;141.212;2000;2000;0;0
"Dell";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.23";74538.72;165.6321;0;256;0;0
"Lenovo";"2 in 1 Convertible";1;1;"Intel Core i7";"16";"Intel";"Windows";"1.4";98514.72;155.396;0;512;0;0
"Toshiba";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"2.0";42251.04;100.4547;0;128;0;0
"Xiaomi";"Notebook";0;1;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"1.95";63882.72;141.212;0;256;0;0
"Dell";"Notebook";1;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.77";82530.72;127.3357;0;512;0;0
"Dell";"Notebook";1;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.06";127712.16;138.4618;0;512;0;0
"Lenovo";"Gaming";0;1;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"2.4";41505.12;141.212;0;256;0;0
"Acer";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Windows";"1.12";52693.92;165.6321;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"8";"AMD";"Windows";"2.8";57808.8;127.3357;1000;1000;0;0
"Lenovo";"2 in 1 Convertible";1;0;"Intel Core i7";"16";"Intel";"Windows";"1.42";150462.72;209.8007;0;1000;0;0
"Vero";"Notebook";0;1;"Other Intel Processor";"4";"Intel";"Windows";"1.3";13852.8;157.3505;0;0;32;0
"Xiaomi";"Ultrabook";0;1;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"1.3";53274.672;165.6321;0;256;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"2.8";37189.44;106.1131;0;256;0;0
"Dell";"2 in 1 Convertible";1;1;"Intel Core i7";"8";"Intel";"Windows";"1.62";44701.92;165.6321;1000;0;0;0
"HP";"Notebook";0;1;"Intel Core i5";"8";"Nvidia";"Windows";"2.5";48697.92;127.3357;1000;0;0;0
"Razer";"Gaming";1;0;"Intel Core i7";"32";"Nvidia";"Windows";"3.49";324954.72;124.8557;0;1000;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.49";51095.52;165.6321;0;512;0;0
"HP";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"3.35";73473.12;127.3357;1000;1000;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"2.5";55677.6;127.3357;0;256;0;0
"Dell";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"2.65";98301.6;138.4618;1000;1000;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Windows";"2.1";26267.04;100.4547;0;128;0;0
"Acer";"Notebook";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"2.23";39533.76;141.212;1000;0;0;0
"Lenovo";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"3.2";93186.72;141.212;1000;1000;0;0
"Dell";"Workstation";0;0;"Other Intel Processor";"16";"Nvidia";"Windows";"2.8";162770.4;138.4618;1000;1000;0;0
"Lenovo";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Others/No OS/Linux";"2.4";74485.44;141.212;0;512;0;0
"Dell";"Notebook";1;0;"Intel Core i3";"6";"Intel";"Windows";"2.3";23389.92;100.4547;1000;0;0;0
"Dell";"Ultrabook";1;1;"Intel Core i7";"8";"Intel";"Windows";"1.21";103842.72;162.4063;0;256;0;0
"Dell";"Ultrabook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.2";77202.72;165.6321;0;256;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Windows";"2.2";31808.16;100.4547;0;256;0;0
"Acer";"Notebook";0;0;"Intel Core i7";"8";"Nvidia";"Others/No OS/Linux";"2.4";41505.12;141.212;1000;0;0;0
"Asus";"Gaming";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"2.9";74964.96;127.3357;1000;1000;0;0
"HP";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Others/No OS/Linux";"2.1";18594.72;141.212;500;0;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Others/No OS/Linux";"2.2";29250.72;141.212;0;256;0;0
"Huawei";"Ultrabook";0;1;"Intel Core i7";"8";"Intel";"Windows";"1.05";79866.72;199.6921;0;512;0;0
"Dell";"Ultrabook";0;1;"Intel Core i7";"8";"AMD";"Windows";"1.4";49650.5664;165.6321;0;256;0;0
"Lenovo";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"2.8";31381.92;106.1131;1000;0;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"Nvidia";"Windows";"1.63";54931.68;157.3505;0;256;0;0
"Dell";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Windows";"1.6";61218.72;157.3505;0;256;0;0
"Dell";"2 in 1 Convertible";1;0;"Intel Core i7";"16";"Intel";"Windows";"1.62";68145.12;165.6321;0;512;0;0
